_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
140,2023,M5N,CAT,DOMESTIC SH
141,2024,M9R,CAT,BRITISH SH
142,2023,M6E,CAT,DOMESTIC MH
143,2023,M1W,DOG,SHIH TZU
144,2023,M8Z,CAT,DOMESTIC SH
145,2023,M5P,CAT,DOMESTIC SH
146,2024,M4R,CAT,DOMESTIC MH
147,2025,M6R,CAT,DOMESTIC SH
148,2023,M6N,DOG,SHIH TZU
149,2023,M4A,CAT,DOMESTIC LH
150,2023,M4M,DOG,MALTESE
151,2025,M4V,CAT,DOMESTIC SH
152,2025,M6K,CAT,DOMESTIC MH
153,2023,M4E,CAT,BURMESE
154,2024,M9W,DOG,SHIH TZU
155,2023,M4R,DOG,YORKSHIRE TERR
156,2024,M6S,DOG,MALTESE
157,2023,M9A,DOG,CHIHUAHUA SH
158,2023,M1T,CAT,DOMESTIC MH
159,2023,M4R,CAT,DOMESTIC SH
160,2023,M1B,DOG,YORKSHIRE TERR
161,2023,M9R,CAT,DOMESTIC SH
162,2024,M5A,DOG,AMER ESKIMO
163,2024,M4J,CAT,DOMESTIC MH
164,2024,M1B,CAT,DOMESTIC MH
165,2024,M1N,CAT,DOMESTIC SH
166,2023,M9B,CAT,DOMESTIC SH
167,2023,M9B,CAT,DOMESTIC MH
168,2024,M1R,CAT,DOMESTIC SH
169,2023,M1S,DOG,SCHNAUZER MIN
170,2025,M2N,CAT,DOMESTIC LH
171,2024,M9C,CAT,DOMESTIC SH
172,2023,M1C,DOG,GOLDEN RETR
173,2025,M4T,DOG,OLDENG SHEEPDOG
174,2025,M3A,DOG,LABRADOR RETR
175,2023,M4E,DOG,LABRADOR RETR
176,2023,M4T,DOG,SC WHEAT TERR
177,2024,M4J,CAT,DOMESTIC SH
178,2023,M4V,CAT,DOMESTIC SH
179,2023,M4S,CAT,DOMESTIC SH
180,2024,M6P,CAT,DOMESTIC SH
181,2023,M8V,CAT,DOMESTIC MH
182,2023,M1R,CAT,DOMESTIC SH
183,2023,M9R,CAT,DOMESTIC SH
184,2024,M8V,CAT,DOMESTIC SH
185,2025,M8V,CAT,DOMESTIC SH
186,2025,M8Y,CAT,DOMESTIC SH
187,2023,M4C,CAT,DOMESTIC LH
