_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
42789,2025,M6B,DOG,BICHON FRISE
42790,2023,M6B,DOG,BICHON FRISE
42791,2023,M5M,DOG,GOLDEN RETR
42792,2025,M2N,DOG,DACHSHUND MIN
42793,2024,M2N,DOG,DACHSHUND MIN
42794,2024,M4Y,DOG,FOX TERR SMOOTH
42795,2024,M5N,DOG,CAVALIER SPAN
42796,2023,M5N,DOG,CAVALIER SPAN
42797,2024,M6S,DOG,YORKSHIRE TERR
42798,2025,M6S,DOG,YORKSHIRE TERR
42799,2025,M4E,CAT,PERSIAN
42800,2023,M4E,CAT,PERSIAN
42801,2025,M4P,CAT,DOMESTIC MH
42802,2023,M4P,CAT,DOMESTIC MH
42803,2025,M3A,DOG,AUST SHEPHERD
42804,2023,M3A,DOG,AUST SHEPHERD
42805,2025,M8Y,DOG,SIBERIAN HUSKY
42806,2023,M8Y,DOG,SIBERIAN HUSKY
42807,2023,M8V,DOG,CHIHUAHUA SH
42808,2024,M8V,DOG,CHIHUAHUA SH
42809,2023,M6E,DOG,SIBERIAN HUSKY
42810,2024,M6E,DOG,SIBERIAN HUSKY
42811,2024,M5A,CAT,DOMESTIC SH
42812,2025,M5A,CAT,DOMESTIC SH
42813,2023,M6A,DOG,COCKER SPAN
42814,2024,M6A,DOG,COCKER SPAN
42815,2025,M9W,DOG,GERM SHEPHERD
42816,2025,M9W,DOG,BEAGLE
42817,2025,M6N,DOG,SHETLD SHEEPDOG
42818,2023,M6N,DOG,SHETLD SHEEPDOG
42819,2025,M3B,DOG,ENG COONHOUND
42820,2023,M3B,DOG,ENG COONHOUND
42821,2025,M4E,DOG,POODLE STND
42822,2023,M4E,DOG,POODLE STND
42823,2024,M9V,DOG,POMERANIAN
42824,2023,M9V,DOG,POMERANIAN
42825,2024,M4L,DOG,BICHON FRISE
42826,2023,M4M,DOG,BOSTON TERRIER
42827,2023,M1K,DOG,LABRADOR RETR
42828,2024,M1K,DOG,LABRADOR RETR
42829,2024,M2J,DOG,GOLDEN RETR
42830,2024,M2P,DOG,GERM SHEPHERD
42831,2025,M2P,DOG,GERM SHEPHERD
42832,2024,M4P,CAT,DOMESTIC SH
42833,2023,,CAT,DOMESTIC LH
42834,2024,,CAT,DOMESTIC LH
42835,2023,,CAT,DOMESTIC MH
42836,2024,,CAT,DOMESTIC MH
42837,2025,M6P,DOG,CHIHUAHUA SH
42838,2023,M6P,DOG,CHIHUAHUA SH
42839,2025,M2N,DOG,COCKER SPAN
42840,2023,M2N,DOG,COCKER SPAN
42841,2025,M1R,DOG,YORKSHIRE TERR
42842,2023,M6J,DOG,ROTTWEILER
42843,2024,M6J,DOG,ROTTWEILER
42844,2023,M6H,CAT,DOMESTIC SH
42845,2024,M6H,CAT,DOMESTIC SH
42846,2024,M1R,DOG,PARSON RUSS TER
42847,2025,M1R,DOG,PARSON RUSS TER
42848,2023,M9C,CAT,DOMESTIC SH
42849,2024,M9C,CAT,DOMESTIC SH
42850,2025,M9C,CAT,DOMESTIC SH
42851,2023,M9C,CAT,DOMESTIC SH
42852,2025,M9W,CAT,DOMESTIC SH
42853,2023,M9W,CAT,DOMESTIC SH
42854,2023,M6A,DOG,BEAGLE
42855,2024,M6A,DOG,BEAGLE
42856,2025,M2L,DOG,GERM SHEPHERD
42857,2024,M2L,DOG,GERM SHEPHERD
42858,2023,M5A,DOG,WEIMARANER
42859,2025,M5A,DOG,WEIMARANER
42860,2023,M5A,DOG,WEIMARANER
42861,2023,M1L,DOG,DACHSHUND
42862,2024,M1L,DOG,DACHSHUND
42863,2023,M6R,DOG,BEAGLE
42864,2024,M6R,DOG,BEAGLE
42865,2023,M1W,DOG,SHETLD SHEEPDOG
42866,2024,M1W,DOG,SHETLD SHEEPDOG
42867,2023,M5P,CAT,DOMESTIC SH
42868,2024,M5P,CAT,DOMESTIC SH
42869,2023,M3H,DOG,LABRADOR RETR
42870,2024,M3H,DOG,LABRADOR RETR
42871,2025,M8V,CAT,DOMESTIC SH
42872,2023,M6S,DOG,LABRADOR RETR
42873,2025,M4J,CAT,DOMESTIC SH
42874,2026,M4J,CAT,DOMESTIC SH
42875,2025,M9B,DOG,BOXER
42876,2024,M9B,DOG,BOXER
42877,2025,M9B,DOG,BOXER
42878,2024,M9B,DOG,BOXER
42879,2024,M6P,DOG,OLDENG SHEEPDOG
42880,2025,M6P,DOG,OLDENG SHEEPDOG
42881,2024,M5E,DOG,MALTESE
42882,2025,M5E,DOG,MALTESE
42883,2025,M5M,DOG,AUST SHEPHERD
42884,2023,M5M,DOG,AUST SHEPHERD
42885,2025,M2M,DOG,TOY POODLE
42886,2024,M2M,DOG,TOY POODLE
42887,2025,M2M,CAT,RAGDOLL
42888,2024,M2M,CAT,RAGDOLL
42889,2024,M5V,DOG,BEAGLE
42890,2024,M9W,DOG,COCKER SPAN
42891,2023,M9W,DOG,COCKER SPAN
42892,2026,M9W,DOG,COCKER SPAN
42893,2023,M6L,DOG,COLLIE SMOOTH
42894,2024,M6L,DOG,COLLIE SMOOTH
42895,2025,M4S,DOG,DASCHUND
42896,2024,M9A,DOG,ENG BULLDOG
42897,2023,M9A,DOG,ENG BULLDOG
42898,2025,,DOG,PORT WATER DOG
42899,2023,,DOG,PORT WATER DOG
42900,2023,M6P,DOG,AUST SHEPHERD
42901,2024,M6P,DOG,AUST SHEPHERD
42902,2024,M4V,DOG,GERM SHEPHERD
42903,2024,M4N,DOG,SHETLD SHEEPDOG
42904,2023,M5N,DOG,FEIST
42905,2025,M1T,DOG,BEAGLE
42906,2024,M1T,DOG,BEAGLE
42907,2025,M6G,DOG,YORKSHIRE TERR
42908,2023,M6G,DOG,YORKSHIRE TERR
42909,2024,M4G,DOG,COCKER SPAN
42910,2024,M4G,DOG,COCKER SPAN
42911,2024,M8Z,DOG,REDBONE HOUND
42912,2025,M8Z,DOG,REDBONE HOUND
42913,2024,M5P,DOG,BEAGLE
42914,2023,M4P,DOG,SHIH TZU
42915,2024,M4P,DOG,SHIH TZU
42916,2024,M5M,DOG,SC WHEAT TERR
42917,2025,M5M,DOG,SC WHEAT TERR
42918,2023,M5M,DOG,SC WHEAT TERR
42919,2025,M2R,DOG,LABRADOR RETR
42920,2023,M2R,DOG,BORDER COLLIE
42921,2023,M6G,CAT,DOMESTIC SH
42922,2025,M6G,CAT,DOMESTIC SH
42923,2024,M4C,DOG,PEKINGESE
42924,2025,M4C,DOG,PEKINGESE
42925,2024,M4N,DOG,ITAL GREYHOUND
42926,2026,M4N,DOG,ITAL GREYHOUND
42927,2023,M1M,CAT,DOMESTIC MH
42928,2025,M1M,CAT,DOMESTIC MH
42929,2024,M1M,CAT,DOMESTIC MH
42930,2023,M4C,DOG,GERM SHEPHERD
42931,2024,M4C,DOG,GERM SHEPHERD
42932,2023,M9W,DOG,COCKER SPAN
42933,2024,M9W,DOG,COCKER SPAN
42934,2024,M1H,DOG,GERM SHEPHERD
42935,2025,M1H,DOG,GERM SHEPHERD
42936,2024,M6G,CAT,DOMESTIC SH
42937,2025,M6G,CAT,DOMESTIC SH
42938,2024,M6R,DOG,LABRADOR RETR
42939,2023,M6R,DOG,LABRADOR RETR
42940,2023,M4L,DOG,ROTTWEILER
42941,2024,M4L,DOG,ROTTWEILER
42942,2023,M4E,DOG,BOXER
42943,2024,M4E,DOG,BOXER
42944,2024,M6B,CAT,DOMESTIC SH
42945,2025,M4M,DOG,LABRADOR RETR
42946,2025,M2M,DOG,SIBERIAN HUSKY
42947,2025,M1W,DOG,CHIHUAHUA LH
42948,2023,M1W,DOG,CHIHUAHUA LH
42949,2024,M1W,DOG,CHIHUAHUA SH
42950,2025,M1W,DOG,CHIHUAHUA SH
42951,2024,M1W,DOG,CHIHUAHUA SH
42952,2025,M1W,DOG,CHIHUAHUA SH
42953,2025,M1L,DOG,CHIHUAHUA SH
42954,2024,M1L,DOG,CHIHUAHUA SH
42955,2024,M4K,DOG,GOLDEN RETR
42956,2025,M4K,DOG,GOLDEN RETR
42957,2025,M5M,DOG,GOLDEN RETR
42958,2023,M5M,DOG,GOLDEN RETR
42959,2024,M1K,DOG,SIBERIAN HUSKY
42960,2025,M1K,DOG,SIBERIAN HUSKY
42961,2025,M9W,DOG,YORKSHIRE TERR
42962,2023,M9W,DOG,YORKSHIRE TERR
42963,2026,M6G,DOG,BORDER COLLIE
42964,2023,M6G,DOG,BORDER COLLIE
42965,2024,M6G,DOG,BORDER COLLIE
42966,2024,M6C,DOG,BOXER
42967,2023,M1K,DOG,DOBERMAN PINSCH
42968,2023,M4R,DOG,WEST HIGHLAND
42969,2024,M4R,DOG,WEST HIGHLAND
42970,2025,M9A,DOG,GERM SHEPHERD
42971,2023,M9A,DOG,GERM SHEPHERD
42972,2024,M4K,DOG,SIBERIAN HUSKY
42973,2023,M8Y,CAT,DOMESTIC SH
42974,2025,M8Y,CAT,DOMESTIC SH
42975,2023,M8V,CAT,DOMESTIC MH
42976,2025,M8V,CAT,DOMESTIC MH
42977,2023,M8V,CAT,DOMESTIC MH
42978,2025,M8V,CAT,DOMESTIC MH
42979,2025,M2N,DOG,DACHSHUND MIN
42980,2023,M2N,DOG,DACHSHUND MIN
42981,2025,M1N,DOG,SIBERIAN HUSKY
42982,2023,M5N,DOG,BERNESE MTN DOG
42983,2024,M5N,DOG,BERNESE MTN DOG
42984,2025,M6P,DOG,ROTTWEILER
42985,2023,M6P,DOG,ROTTWEILER
42986,2024,M5M,DOG,GOLDEN RETR
42987,2025,M5M,DOG,GOLDEN RETR
42988,2024,M9B,DOG,SHIH TZU
42989,2023,M9B,DOG,SHIH TZU
42990,2023,M8Z,DOG,CHESA BAY RETR
42991,2024,M8Z,DOG,CHESA BAY RETR
42992,2023,M4G,DOG,COCKER SPAN
42993,2024,M4G,DOG,COCKER SPAN
42994,2024,M4L,DOG,TERRIER
42995,2025,M4J,CAT,DOMESTIC MH
42996,2023,M4J,CAT,DOMESTIC MH
42997,2025,M4J,CAT,DOMESTIC MH
42998,2023,M4J,CAT,DOMESTIC MH
42999,2024,M1X,DOG,SIBERIAN HUSKY
43000,2024,M6P,DOG,GANARASKAN
43001,2023,M6P,DOG,GANARASKAN
43002,2025,M8Z,DOG,GOLDEN RETR
43003,2023,M8Z,DOG,GOLDEN RETR
43004,2023,M4Y,DOG,GREAT PYRENEES
43005,2024,M4Y,DOG,GREAT PYRENEES
43006,2023,M6R,DOG,BORDER COLLIE
43007,2024,M6R,DOG,BORDER COLLIE
43008,2025,M1B,CAT,DOMESTIC SH
43009,2023,M1B,CAT,DOMESTIC SH
43010,2024,M8W,DOG,GOLDEN RETR
43011,2024,M1E,DOG,BERNESE MTN DOG
43012,2023,M1E,DOG,BERNESE MTN DOG
43013,2025,M4K,CAT,DOMESTIC MH
43014,2024,M4K,CAT,DOMESTIC MH
43015,2023,M1B,CAT,DOMESTIC MH
43016,2024,M1B,CAT,DOMESTIC MH
43017,2024,M1N,DOG,COTON DE TULEAR
43018,2025,M1N,DOG,COTON DE TULEAR
43019,2023,M8V,DOG,BORDER COLLIE
43020,2025,M8V,DOG,BORDER COLLIE
43021,2023,M3M,DOG,BOSTON TERRIER
43022,2024,M3M,DOG,BOSTON TERRIER
43023,2024,M3M,CAT,DOMESTIC SH
43024,2025,M3M,CAT,DOMESTIC SH
43025,2023,M2N,DOG,CAVALIER SPAN
43026,2024,M2N,DOG,CAVALIER SPAN
43027,2025,M4L,DOG,SHIH TZU
43028,2024,M5R,DOG,HAVANESE
43029,2023,M5R,DOG,HAVANESE
43030,2024,M6G,CAT,DOMESTIC SH
43031,2023,M6G,CAT,DOMESTIC SH
43032,2025,M5A,DOG,POMERANIAN
43033,2025,M5A,DOG,POMERANIAN
43034,2024,M2P,CAT,DOMESTIC SH
43035,2023,M2P,CAT,DOMESTIC SH
43036,2024,M4V,DOG,BERNESE MTN DOG
43037,2023,M4V,DOG,BERNESE MTN DOG
43038,2025,M6N,DOG,LABRADOR RETR
43039,2026,M6N,DOG,LABRADOR RETR
43040,2024,M4V,DOG,BOSTON TERRIER
43041,2025,M4V,DOG,BOSTON TERRIER
43042,2024,M8V,DOG,JINDO
43043,2024,M4E,DOG,GERM SH POINT
43044,2025,M4E,DOG,GERM SH POINT
43045,2024,M4C,DOG,AMER BULLDOG
43046,2026,M4C,DOG,AMER BULLDOG
43047,2023,M8Z,CAT,DOMESTIC SH
43048,2024,M8Z,CAT,DOMESTIC SH
43049,2025,M4W,DOG,COCKER SPAN
43050,2024,M4W,DOG,COCKER SPAN
43051,2025,M4G,CAT,DOMESTIC LH
43052,2024,M4G,CAT,DOMESTIC LH
43053,2023,M5M,DOG,TERRIER
43054,2024,M5M,DOG,TERRIER
43055,2025,M6R,CAT,DOMESTIC SH
43056,2023,M6R,CAT,DOMESTIC SH
43057,2025,M4J,DOG,BERNESE MTN DOG
43058,2024,M4J,DOG,BERNESE MTN DOG
43059,2023,M2K,DOG,LABRADOR RETR
43060,2024,M8Y,DOG,WEST HIGHLAND
43061,2025,M8Y,DOG,WEST HIGHLAND
43062,2024,M2N,DOG,POODLE MIN
43063,2025,M6S,DOG,VIZSLA
43064,2023,M6S,DOG,VIZSLA
43065,2025,M1B,DOG,COCKER SPAN
43066,2023,M1B,DOG,COCKER SPAN
43067,2023,M4B,DOG,LABRADOR RETR
43068,2026,M4B,DOG,LABRADOR RETR
43069,2023,M9B,CAT,DOMESTIC SH
43070,2024,M9B,CAT,DOMESTIC SH
43071,2025,M6B,DOG,SIBERIAN HUSKY
43072,2024,M5P,DOG,SCHNAUZER MIN
43073,2024,M5S,CAT,DOMESTIC SH
43074,2023,M6B,DOG,CAVALIER SPAN
43075,2024,M6B,DOG,CAVALIER SPAN
43076,2025,M6S,CAT,DOMESTIC SH
43077,2023,M6S,CAT,DOMESTIC SH
43078,2023,M6N,DOG,POODLE TOY
43079,2023,M6N,DOG,POODLE TOY
43080,2024,M6N,DOG,POODLE TOY
43081,2023,M9A,DOG,POODLE TOY
43082,2024,M9A,DOG,POODLE TOY
43083,2023,M9P,DOG,BERNESE MTN DOG
43084,2024,M9P,DOG,BERNESE MTN DOG
43085,2025,M6R,DOG,BOXER
43086,2025,M6R,DOG,BOXER
43087,2025,M9M,DOG,IRISH SETTER
43088,2023,M9M,DOG,IRISH SETTER
43089,2025,M9M,DOG,GOLDEN RETR
43090,2023,M9M,DOG,GOLDEN RETR
43091,2025,M1N,DOG,LABRADOR RETR
43092,2023,M1N,DOG,LABRADOR RETR
43093,2024,M1N,DOG,LABRADOR RETR
43094,2024,M1N,DOG,GOLDEN RETR
43095,2025,M1N,DOG,GOLDEN RETR
43096,2025,M4T,DOG,BORDER COLLIE
43097,2023,M4T,DOG,BORDER COLLIE
43098,2025,M2L,CAT,DOMESTIC SH
43099,2024,M2L,CAT,DOMESTIC SH
43100,2024,M2N,CAT,DOMESTIC SH
43101,2024,M3H,DOG,FRENCH BULLDOG
43102,2023,M3H,DOG,FRENCH BULLDOG
43103,2023,M9A,DOG,POODLE TOY
43104,2024,M9A,DOG,POODLE TOY
43105,2025,M9M,DOG,NEWFOUNDLAND
43106,2026,M9M,DOG,NEWFOUNDLAND
43107,2024,M9M,DOG,NEWFOUNDLAND
43108,2025,M1K,DOG,SHIBA INU
43109,2023,M1K,DOG,SHIBA INU
43110,2024,M4X,DOG,WHIPPET
43111,2025,M4X,DOG,WHIPPET
43112,2023,M5A,DOG,YORKSHIRE TERR
43113,2025,M5A,DOG,YORKSHIRE TERR
43114,2024,M9A,DOG,FOX TERR WIRE
43115,2025,M9A,DOG,FOX TERR WIRE
43116,2023,M5R,DOG,PORT WATER DOG
43117,2025,M6C,DOG,FRENCH BULLDOG
43118,2025,M1T,DOG,TERRIER
43119,2023,M1T,DOG,TERRIER
43120,2024,M6J,DOG,GERM SHEPHERD
43121,2025,M6J,DOG,GERM SHEPHERD
43122,2024,M4X,DOG,CHIHUAHUA SH
43123,2023,M4X,DOG,CHIHUAHUA SH
43124,2023,M4L,CAT,DOMESTIC SH
43125,2024,M4L,CAT,DOMESTIC SH
43126,2025,M3L,DOG,SHIH TZU
43127,2024,M4Y,DOG,LABRADOR RETR
43128,2023,M4Y,DOG,LABRADOR RETR
43129,2023,M4L,CAT,DOMESTIC SH
43130,2024,M4L,CAT,DOMESTIC SH
43131,2025,M5J,CAT,DOMESTIC LH
43132,2023,M5J,CAT,DOMESTIC LH
43133,2025,M1N,CAT,DOMESTIC MH
43134,2023,M5A,CAT,DOMESTIC SH
43135,2024,M5A,CAT,DOMESTIC SH
43136,2024,M1L,CAT,DOMESTIC SH
43137,2025,M3N,DOG,PAPILLON
43138,2023,M3N,DOG,PAPILLON
43139,2024,M3N,DOG,CHIHUAHUA SH
43140,2025,M3N,DOG,CHIHUAHUA SH
43141,2025,M8W,DOG,CHIHUAHUA LH
43142,2023,M8W,DOG,CHIHUAHUA LH
43143,2024,M4J,DOG,GERM SHEPHERD
43144,2024,M3K,CAT,DOMESTIC SH
43145,2024,M6J,DOG,MALTESE
43146,2025,M2N,DOG,PARSON RUSS TER
43147,2025,M5M,DOG,GOLDEN RETR
43148,2025,M6E,DOG,MALTESE
43149,2025,M4E,DOG,LABRADOR RETR
43150,2023,M8Y,DOG,GERM SH POINT
43151,2023,M6G,DOG,PUG
43152,2023,M4C,CAT,DOMESTIC SH
43153,2023,M4V,CAT,DOMESTIC LH
43154,2025,M5A,CAT,DOMESTIC MH
43155,2023,M5C,CAT,DOMESTIC SH
43156,2025,M1G,CAT,DOMESTIC LH
43157,2025,M4C,DOG,PEKINGESE
43158,2023,M5G,DOG,JAPANESE CHIN
43159,2023,M4B,DOG,DACHSHUND
43160,2023,M4B,DOG,DACHSHUND
43161,2023,M6E,DOG,SHIH TZU
43162,2023,M6H,DOG,WELSH CORGI CAR
43163,2024,M4E,DOG,CAVALIER SPAN
43164,2023,M2N,DOG,SHIBA INU
43165,2025,M6M,DOG,BELG MALINOIS
43166,2024,M6R,DOG,SC WHEAT TERR
43167,2024,M6N,DOG,AMER BULLDOG
43168,2023,M1M,DOG,LABRADOR RETR
43169,2023,M1M,DOG,ROTTWEILER
43170,2025,M9M,CAT,DOMESTIC SH
43171,2023,M5N,CAT,DOMESTIC SH
43172,2023,M4J,CAT,DOMESTIC SH
43173,2024,M1R,DOG,SAMOYED
43174,2024,M1K,DOG,SHIH TZU
43175,2025,M9V,CAT,DOMESTIC SH
43176,2024,M6H,CAT,DOMESTIC SH
43177,2024,M8Z,DOG,DOBERMAN PINSCH
43178,2024,M4G,CAT,DOMESTIC SH
43179,2024,M9B,DOG,BULLMASTIFF
43180,2023,M6G,DOG,SIBERIAN HUSKY
43181,2023,M4N,DOG,POODLE MIN
43182,2024,M1K,DOG,LABRADOR RETR
43183,2025,M6P,DOG,GREYHOUND
43184,2025,M9C,CAT,DOMESTIC SH
43185,2024,M4P,DOG,PORT WATER DOG
43186,2025,M9A,DOG,GOLDEN RETR
43187,2023,M1P,DOG,ROTTWEILER
43188,2023,M4G,DOG,AIREDALE TERR
43189,2024,M6K,DOG,HOUND
43190,2023,M1L,DOG,GERM SHEPHERD
43191,2025,M2H,DOG,GREAT DANE
43192,2025,M1T,DOG,SHIH TZU
43193,2023,M2N,CAT,SIAMESE
43194,2025,M4G,CAT,DOMESTIC SH
43195,2025,M4B,DOG,SC WHEAT TERR
43196,2024,M6G,DOG,SHIH TZU
43197,2023,M4E,DOG,HAVANESE
43198,2025,M6K,DOG,GERM SHEPHERD
43199,2023,M5R,DOG,CATAHOULA
43200,2024,M6H,CAT,DOMESTIC SH
43201,2023,M3H,CAT,DOMESTIC SH
43202,2024,M1E,DOG,SIBERIAN HUSKY
43203,2024,M5A,DOG,MALTESE
43204,2025,M1K,DOG,POODLE MIN
43205,2024,M6G,DOG,BEAGLE
43206,2025,M6G,DOG,GOLDEN RETR
43207,2025,M4C,CAT,DOMESTIC SH
43208,2023,M5A,DOG,POMERANIAN
43209,2025,M1K,CAT,DOMESTIC SH
43210,2023,M4W,DOG,LABRADOR RETR
43211,2025,M4L,DOG,HAVANESE
43212,2023,M4E,DOG,DACHSHUND MIN
43213,2025,M4A,DOG,SHIH TZU
43214,2023,M4C,DOG,SCHNAUZER MIN
43215,2023,M4E,CAT,DOMESTIC LH
43216,2023,M4J,CAT,DOMESTIC SH
43217,2024,M4J,CAT,DOMESTIC SH
43218,2023,M6H,CAT,DOMESTIC SH
43219,2024,M5V,CAT,DOMESTIC SH
43220,2023,M1H,DOG,LABRADOR RETR
43221,2024,M3N,DOG,SHIH TZU
43222,2023,M1M,DOG,ROTTWEILER
43223,2023,M1R,DOG,SIBERIAN HUSKY
43224,2023,M1B,DOG,BOXER
43225,2025,M4T,DOG,LABRADOR RETR
43226,2025,M1L,DOG,LABRADOR RETR
43227,2023,M9R,DOG,YORKSHIRE TERR
43228,2025,M3C,DOG,LABRADOR RETR
43229,2023,M8V,DOG,LABRADOR RETR
43230,2023,M9B,DOG,LABRADOR RETR
43231,2026,M3B,DOG,PUG
43232,2024,M8V,CAT,DOMESTIC SH
43233,2024,M2M,CAT,RAGDOLL
43234,2025,M4M,DOG,LABRADOR RETR
43235,2023,M4W,DOG,LABRADOR RETR
43236,2024,M9V,DOG,GERM SHEPHERD
43237,2024,M4T,DOG,LABRADOR RETR
43238,2023,M4C,DOG,BORDER COLLIE
43239,2024,M6S,DOG,LABRADOR RETR
43240,2023,M8W,DOG,COCKER SPAN
43241,2023,M1L,DOG,CHIHUAHUA SH
43242,2023,M1L,DOG,CHIHUAHUA SH
43243,2025,M1M,DOG,BORDER TERRIER
43244,2024,M5S,DOG,CHIHUAHUA SH
43245,2023,M1W,DOG,SHIH TZU
43246,2025,M1W,CAT,DOMESTIC SH
43247,2024,M4C,DOG,COCKER SPAN
43248,2024,M4V,DOG,GOLDEN RETR
43249,2023,M2J,DOG,PORT WATER DOG
43250,2023,M6R,DOG,BRITTANY
43251,2025,M6K,DOG,LABRADOR RETR
43252,2025,M6C,DOG,CAVALIER SPAN
43253,2025,M4W,DOG,GOLDEN RETR
43254,2025,M5P,DOG,POODLE MIN
43255,2023,M9P,DOG,GOLDEN RETR
43256,2025,M1N,DOG,LABRADOR RETR
43257,2024,M5P,DOG,DOBERMAN PINSCH
43258,2024,M1K,DOG,SHIH TZU
43259,2023,M6M,CAT,DOMESTIC SH
43260,2025,M1J,CAT,DOMESTIC MH
43261,2025,M9C,DOG,WEST HIGHLAND
43262,2025,M6N,CAT,DOMESTIC SH
43263,2023,M2P,DOG,SHETLD SHEEPDOG
43264,2024,M5M,DOG,VIZSLA
43265,2024,M4C,DOG,ROTTWEILER
43266,2023,M3N,DOG,SHIH TZU
43267,2024,M1E,CAT,ABYSSINIAN
43268,2025,M4L,DOG,GERM SHEPHERD
43269,2025,M4V,DOG,LHASA APSO
43270,2023,M9C,CAT,DOMESTIC SH
43271,2024,M9C,CAT,DOMESTIC SH
43272,2026,M4V,DOG,PAPILLON
43273,2023,M5V,DOG,LABRADOR RETR
43274,2024,M6H,DOG,POMERANIAN
43275,2025,M4E,DOG,GORDON SETTER
43276,2025,M3A,DOG,GOLDEN RETR
43277,2025,M4C,DOG,PORT WATER DOG
43278,2023,M8W,DOG,GOLDEN RETR
43279,2024,M8W,DOG,GOLDEN RETR
43280,2024,M4K,CAT,DOMESTIC MH
43281,2023,M4K,CAT,DOMESTIC MH
43282,2025,M5M,DOG,GOLDEN RETR
43283,2023,M5M,DOG,GOLDEN RETR
43284,2024,M4J,DOG,GERM SHEPHERD
43285,2023,M4N,DOG,GOLDEN RETR
43286,2024,M4N,DOG,GOLDEN RETR
43287,2025,M5N,DOG,BERNESE MTN DOG
43288,2024,M5N,DOG,BERNESE MTN DOG
43289,2023,M6J,DOG,CAIRN TERRIER
43290,2025,M6J,DOG,CAIRN TERRIER
43291,2023,M8V,DOG,SHIH TZU
43292,2024,M1B,DOG,CHIHUAHUA SH
43293,2025,M3K,DOG,BEAGLE
43294,2023,M3K,DOG,BEAGLE
43295,2023,M1E,DOG,LABRADOR RETR
43296,2025,M1E,DOG,LABRADOR RETR
43297,2026,M1M,CAT,DOMESTIC SH
43298,2023,M1M,CAT,DOMESTIC SH
43299,2025,M4L,DOG,LABRADOR RETR
43300,2023,M4L,DOG,LABRADOR RETR
43301,2025,M5P,CAT,DOMESTIC SH
43302,2023,M5P,CAT,DOMESTIC SH
43303,2023,M4W,DOG,GOLDEN RETR
43304,2025,M4W,DOG,GOLDEN RETR
43305,2024,M1S,CAT,DOMESTIC SH
43306,2024,M4J,CAT,DOMESTIC SH
43307,2025,M4J,CAT,DOMESTIC SH
43308,2025,M8X,DOG,LABRADOR RETR
43309,2023,M8X,DOG,LABRADOR RETR
43310,2023,M2H,CAT,DOMESTIC SH
43311,2024,M2H,CAT,DOMESTIC SH
43312,2025,M4R,DOG,LABRADOR RETR
43313,2023,M4R,DOG,LABRADOR RETR
43314,2024,M4R,DOG,LABRADOR RETR
43315,2023,M8X,DOG,MALTESE
43316,2024,M8X,DOG,MALTESE
43317,2024,M4J,DOG,GERM SHEPHERD
43318,2024,M4J,DOG,GERM SHEPHERD
43319,2023,M1V,CAT,DOMESTIC SH
43320,2024,M1V,CAT,DOMESTIC SH
43321,2025,M4J,DOG,LABRADOR RETR
43322,2024,M4J,DOG,LABRADOR RETR
43323,2023,M1L,DOG,COLLIE ROUGH
43324,2025,M1L,DOG,COLLIE ROUGH
43325,2025,M4W,DOG,GOLDEN RETR
43326,2024,M4W,DOG,GOLDEN RETR
43327,2025,M4V,DOG,WEST HIGHLAND
43328,2023,M4V,DOG,WEST HIGHLAND
43329,2024,M4B,CAT,DOMESTIC SH
43330,2025,M1N,DOG,GERM SHEPHERD
43331,2024,M1N,DOG,GERM SHEPHERD
43332,2023,M1N,DOG,GERM SHEPHERD
43333,2025,M5M,DOG,SHIH TZU
43334,2023,M5M,DOG,SHIH TZU
43335,2025,M5M,DOG,SHIH TZU
43336,2024,M9L,DOG,MALTESE
43337,2023,M9L,DOG,MALTESE
43338,2024,M8V,DOG,GOLDEN RETR
43339,2023,M8V,DOG,GOLDEN RETR
43340,2025,M1J,DOG,ALASKAN HUSKY
43341,2024,M4B,DOG,GOLDEN RETR
43342,2024,M8W,DOG,BORDER COLLIE
43343,2025,M8W,DOG,BORDER COLLIE
43344,2023,M5V,DOG,PULI
43345,2023,M4C,DOG,GOLDEN RETR
43346,2025,M8Y,DOG,LABRADOR RETR
43347,2023,M8Y,DOG,LABRADOR RETR
43348,2024,M4J,DOG,POODLE STND
43349,2023,M4J,DOG,POODLE STND
43350,2023,M1E,DOG,GREYHOUND
43351,2023,M6P,DOG,SIBERIAN HUSKY
43352,2024,M6P,DOG,SIBERIAN HUSKY
43353,2024,M8V,DOG,GOLDEN RETR
43354,2025,M8V,DOG,GOLDEN RETR
43355,2025,M4C,DOG,SHIH TZU
43356,2024,M4C,DOG,SHIH TZU
43357,2025,M4T,DOG,COTON DE TULEAR
43358,2023,M4T,DOG,COTON DE TULEAR
43359,2024,M4S,DOG,POODLE STND
43360,2025,M2L,DOG,YORKSHIRE TERR
43361,2023,M2L,DOG,YORKSHIRE TERR
43362,2024,M6S,DOG,POODLE STND
43363,2025,M6S,DOG,POODLE STND
43364,2025,M2K,DOG,POMERANIAN
43365,2023,M2K,DOG,POMERANIAN
43366,2025,M5H,DOG,SCHNAUZER MIN
43367,2026,M5H,DOG,SCHNAUZER MIN
43368,2024,M2J,DOG,LABRADOR RETR
43369,2025,M8W,DOG,FRENCH BULLDOG
43370,2024,M8W,DOG,FRENCH BULLDOG
43371,2023,M4P,DOG,CHIHUAHUA SH
43372,2025,M4P,DOG,CHIHUAHUA SH
43373,2025,M4J,DOG,MIN PINSCHER
43374,2023,M4J,DOG,MIN PINSCHER
